13:43:47 | 204 |            0s | 127.0.0.1 | OPTIONS | /api/user/login | -
13:43:47 | 200 |      8.1874ms | 127.0.0.1 | POST | /api/user/login | -
13:43:50 | 200 |      3.2526ms | 127.0.0.1 | POST | /api/user/login | -
15:13:33 | 404 |            0s | 127.0.0.1 | POST | /course-customer | Cannot POST /course-customer
15:14:47 | 404 |            0s | 127.0.0.1 | POST | /course-customer | Cannot POST /course-customer
15:14:48 | 404 |            0s | 127.0.0.1 | POST | /course-customer | Cannot POST /course-customer
15:14:52 | 404 |            0s | 127.0.0.1 | POST | /course-customer/ | Cannot POST /course-customer/
15:15:32 | 400 |      1.0347ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:15:59 | 200 |     22.4942ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:17:40 | 200 |      3.1909ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:26:13 | 200 |     77.9343ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:33:03 | 200 |     17.9664ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:35:08 | 200 |     25.9741ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:35:35 | 200 |      8.8121ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:35:37 | 200 |     10.8521ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:38:08 | 200 |     16.2138ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:38:10 | 400 |     16.8651ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:38:39 | 200 |      3.8089ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:38:41 | 400 |      2.3265ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:39:03 | 400 |     14.8124ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:42:32 | 400 |      5.9729ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:42:33 | 400 |      1.1029ms | 127.0.0.1 | POST | /api/course-customer/ | -
15:49:54 | 200 |     23.1367ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:01:42 | 400 |      5.1549ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:01:44 | 400 |      3.6281ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:01:47 | 400 |      3.2054ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:01:48 | 400 |      3.2943ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:01:49 | 400 |      3.4667ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:01:50 | 400 |       3.122ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:01:50 | 400 |       3.179ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:01:51 | 400 |      4.7062ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:01:56 | 400 |       3.438ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:01:57 | 400 |      2.2746ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:02:01 | 400 |       3.059ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:02:02 | 400 |       3.779ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:02:07 | 400 |      3.7261ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:02:27 | 400 |      3.8173ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:02:53 | 200 |       8.556ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:03:03 | 400 |      4.0678ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:06:20 | 400 |     19.3319ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:06:21 | 400 |      4.5473ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:07:16 | 400 |     19.0389ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:07:25 | 400 |     16.7047ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:07:32 | 200 |     11.2474ms | 127.0.0.1 | POST | /api/course-customer/ | -
16:07:42 | 400 |      1.0536ms | 127.0.0.1 | POST | /api/course-customer/ | -
18:23:52 | 400 |      6.0375ms | 127.0.0.1 | POST | /api/course-customer/ | -
18:25:45 | 400 |      5.5407ms | 127.0.0.1 | POST | /api/course-customer/ | -
18:26:01 | 400 |      5.4288ms | 127.0.0.1 | POST | /api/course-customer/ | -
18:26:02 | 400 |      1.2762ms | 127.0.0.1 | POST | /api/course-customer/ | -
18:26:43 | 400 |     10.7403ms | 127.0.0.1 | POST | /api/course-customer/ | -
18:26:44 | 400 |      1.3516ms | 127.0.0.1 | POST | /api/course-customer/ | -
18:26:45 | 400 |     25.5278ms | 127.0.0.1 | POST | /api/course-customer/ | -
18:27:23 | 400 |      6.5679ms | 127.0.0.1 | POST | /api/course-customer/ | -
18:29:46 | 400 |       7.616ms | 127.0.0.1 | POST | /api/course-customer/ | -
18:29:52 | 400 |      2.6593ms | 127.0.0.1 | POST | /api/course-customer/ | -
